cliente_id,idade,profissao,estado_civil,escolaridade,possui_inadimplencia,saldo_conta,possui_financiamento_imovel,possui_emprestimo_pessoal,tipo_contato,dia_contato,mes_contato,duracao_contato_seg,qtd_contatos_campanha,dias_desde_ultimo_contato,contatos_campanha_anterior,resultado_campanha_anterior,aderiu_produto
1,30,unemployed,married,primary,0,1787,0,0,cellular,19,oct,79,1,-1,0,nao_informado,0
2,33,services,married,secondary,0,4789,1,1,cellular,11,may,220,1,339,4,failure,0
3,35,management,single,tertiary,0,1350,1,0,cellular,16,apr,185,1,330,1,failure,0
4,30,management,married,tertiary,0,1476,1,1,nao_informado,3,jun,199,4,-1,0,nao_informado,0
5,59,blue-collar,married,secondary,0,0,1,0,nao_informado,5,may,226,1,-1,0,nao_informado,0
6,35,management,single,tertiary,0,747,0,0,cellular,23,feb,141,2,176,3,failure,0
7,36,self-employed,married,tertiary,0,307,1,0,cellular,14,may,341,1,330,2,other,0
8,39,technician,married,secondary,0,147,1,0,cellular,6,may,151,2,-1,0,nao_informado,0
9,41,entrepreneur,married,tertiary,0,221,1,0,nao_informado,14,may,57,2,-1,0,nao_informado,0
10,43,services,married,primary,0,-88,1,1,cellular,17,apr,313,1,147,2,failure,0
11,39,services,married,secondary,0,9374,1,0,nao_informado,20,may,273,1,-1,0,nao_informado,0
12,43,admin.,married,secondary,0,264,1,0,cellular,17,apr,113,2,-1,0,nao_informado,0
13,36,technician,married,tertiary,0,1109,0,0,cellular,13,aug,328,2,-1,0,nao_informado,0
14,20,student,single,secondary,0,502,0,0,cellular,30,apr,261,1,-1,0,nao_informado,1
15,31,blue-collar,married,secondary,0,360,1,1,cellular,29,jan,89,1,241,1,failure,0
16,40,management,married,tertiary,0,194,0,1,cellular,29,aug,189,2,-1,0,nao_informado,0
17,56,technician,married,secondary,0,4073,0,0,cellular,27,aug,239,5,-1,0,nao_informado,0
18,37,admin.,single,tertiary,0,2317,1,0,cellular,20,apr,114,1,152,2,failure,0
19,25,blue-collar,single,primary,0,-221,1,0,nao_informado,23,may,250,1,-1,0,nao_informado,0
20,31,services,married,secondary,0,132,0,0,cellular,7,jul,148,1,152,1,other,0
21,38,management,divorced,nao_informado,0,0,1,0,cellular,18,nov,96,2,-1,0,nao_informado,0
22,42,management,divorced,tertiary,0,16,0,0,cellular,19,nov,140,3,-1,0,nao_informado,0
23,44,services,single,secondary,0,106,0,0,nao_informado,12,jun,109,2,-1,0,nao_informado,0
24,44,entrepreneur,married,secondary,0,93,0,0,cellular,7,jul,125,2,-1,0,nao_informado,0
25,26,housemaid,married,tertiary,0,543,0,0,cellular,30,jan,169,3,-1,0,nao_informado,0
26,41,management,married,tertiary,0,5883,0,0,cellular,20,nov,182,2,-1,0,nao_informado,0
27,55,blue-collar,married,primary,0,627,1,0,nao_informado,5,may,247,1,-1,0,nao_informado,0
28,67,retired,married,nao_informado,0,696,0,0,telephone,17,aug,119,1,105,2,failure,0
29,56,self-employed,married,secondary,0,784,0,1,cellular,30,jul,149,2,-1,0,nao_informado,0
30,53,admin.,married,secondary,0,105,0,1,cellular,21,aug,74,2,-1,0,nao_informado,0
31,68,retired,divorced,secondary,0,4189,0,0,telephone,14,jul,897,2,-1,0,nao_informado,1
32,31,technician,married,secondary,0,171,0,0,cellular,27,aug,81,3,-1,0,nao_informado,0
33,59,management,married,secondary,0,42,0,0,cellular,21,nov,40,1,-1,0,nao_informado,0
34,32,management,single,tertiary,0,2536,1,0,cellular,26,aug,958,6,-1,0,nao_informado,1
35,49,technician,married,tertiary,0,1235,0,0,cellular,13,aug,354,3,-1,0,nao_informado,1
36,42,admin.,divorced,secondary,0,1811,1,0,nao_informado,14,may,150,1,-1,0,nao_informado,0
37,78,retired,divorced,primary,0,229,0,0,telephone,22,oct,97,1,-1,0,nao_informado,1
38,32,blue-collar,married,secondary,0,2089,1,0,cellular,14,nov,132,1,-1,0,nao_informado,1
39,33,management,married,secondary,0,3935,1,0,cellular,6,may,765,1,342,2,failure,1
40,23,services,single,tertiary,0,363,1,0,nao_informado,30,may,16,18,-1,0,nao_informado,0
41,38,management,single,tertiary,0,11971,1,0,nao_informado,17,nov,609,2,101,3,failure,0
42,36,management,single,tertiary,0,553,0,0,cellular,11,aug,106,2,-1,0,nao_informado,0
43,52,blue-collar,married,secondary,0,1117,1,0,cellular,13,may,365,1,-1,0,nao_informado,0
44,32,technician,married,tertiary,0,396,1,0,cellular,13,may,205,3,-1,0,nao_informado,0
45,32,technician,single,tertiary,0,2204,1,0,cellular,21,nov,11,4,-1,0,nao_informado,0
46,34,management,single,tertiary,0,872,1,0,nao_informado,7,may,105,2,-1,0,nao_informado,0
47,55,blue-collar,married,primary,0,145,0,0,telephone,2,feb,59,3,5,2,other,0
48,26,blue-collar,married,primary,0,0,1,0,nao_informado,21,may,425,1,-1,0,nao_informado,0
49,32,entrepreneur,single,primary,1,-849,1,1,cellular,4,feb,204,1,-1,0,nao_informado,0
50,61,admin.,married,nao_informado,0,4629,1,0,cellular,27,jan,181,1,92,1,success,1
51,45,blue-collar,divorced,primary,0,844,0,0,nao_informado,5,jun,1018,3,-1,0,nao_informado,1
52,37,technician,single,secondary,0,228,1,0,cellular,20,aug,1740,2,-1,0,nao_informado,0
53,38,technician,single,secondary,0,50,0,0,cellular,29,aug,98,2,-1,0,nao_informado,0
54,34,technician,married,tertiary,0,1539,1,0,cellular,15,jun,441,1,56,1,other,1
55,53,blue-collar,married,secondary,0,2231,1,0,cellular,14,jul,272,3,-1,0,nao_informado,0
56,48,admin.,married,secondary,0,3064,1,0,telephone,15,jul,159,2,-1,0,nao_informado,0
57,57,management,married,secondary,0,82,0,1,telephone,4,feb,140,1,-1,0,nao_informado,0
58,33,self-employed,single,tertiary,0,2155,0,0,cellular,17,nov,295,1,-1,0,nao_informado,0
